_step,_runtime,train/loss,train/lr,_timestamp,epoch,val/mae,val/score,val/mptr18,eval/mptr18,eval/lat_p50,eval/mptr18_dark,eval/adult_block,eval/lat_p95,eval/mae
360,55.375674075,1.053378701210022,0.0002588810923116,1782671063.930908,,,,,,,,,,
380,68.238556228,0.5823236107826233,0.0002534528280445,1782671067.428719,,,,,,,,,,
387,91.50308672,,,1782671080.2901578,9.0,6.54,7.4995,0.1919,,,,,,
400,95.005481541,0.7644427418708801,0.0002477529035217,1782671103.5560942,,,,,,,,,,
420,104.783951104,0.740725040435791,0.0002417962863666,1782671107.058555,,,,,,,,,,
430,128.26604435,,,1782671116.8360658,10.0,6.477,7.1965,0.1439,,,,,,
440,131.766221526,0.926378071308136,0.00023559861826,1782671140.3189254,,,,,,,,,,
460,142.378774654,0.3169943988323211,0.000229176173867,1782671143.819191,,,,,,,,,,
473,162.925477193,,,1782671154.4300652,11.0,6.887,7.8835,0.1993,,,,,,
480,166.447281217,0.8365781903266907,0.0002225458180998,1782671174.97839,,,,,,,,,,
500,177.225307659,0.4525074660778045,0.0002157249618324,1782671178.500286,,,,,,,,,,
516,199.944283186,,,1782671189.2690692,12.0,6.4,7.304,0.1808,,,,,,
520,203.473521012,2.435697078704834,0.0002087315161804,1782671211.996977,,,,,,,,,,
540,215.804289301,0.3739615082740783,0.0002015838454675,1782671215.5264163,,,,,,,,,,
559,230.123693705,,,1782671227.8556888,13.0,6.608,7.715,0.2214,,,,,,
560,240.524487889,0.5947312712669373,0.0001943007190024,1782671242.1764674,,,,,,,,,,
580,244.021134578,0.3097613453865051,0.0001869012617913,1782671252.5776026,,,,,,,,,,
600,252.992887249,0.1813195794820785,0.0001794049043176,1782671256.0740626,,,,,,,,,,
602,278.623666052,,,1782671265.041773,14.0,6.141,7.0265,0.1771,,,,,,
620,282.105830582,0.1388619989156723,0.0001718313315181,1782671290.6766646,,,,,,,,,,
640,291.051382497,0.1954828947782516,0.000164200431092,1782671294.1588063,,,,,,,,,,
645,316.817582205,,,1782671303.1006744,15.0,6.113,6.98,0.1734,,,,,,
660,320.308695984,0.429557204246521,0.0001565322412769,1782671328.870645,,,,,,,,,,
